date,daily_electrical_consumption
2017-01-08,2163188.0
2017-01-09,2222675.0
2017-01-10,1981652.0
2017-01-11,2509458.0
2017-01-12,3643904.0
2017-01-13,3584960.0
2017-01-14,3412316.0
2017-01-15,3331986.0
2017-01-16,3663872.0
2017-01-17,3943011.0
2017-01-18,4122552.0
2017-01-19,4157497.0
2017-01-20,4109446.0
2017-01-21,3800150.0
2017-01-22,3638358.0
2017-01-23,3921817.0
2017-01-24,4013425.0
2017-01-25,4084698.0
2017-01-26,4074684.0
2017-01-27,3829832.0
2017-01-28,3273341.0
2017-01-29,3117707.0
2017-01-30,3367213.0
2017-01-31,3227184.0
2017-02-01,3529932.0
2017-02-02,3159116.0
2017-02-03,3071436.0
2017-02-04,2195568.0
2017-02-05,2580472.0
2017-02-06,2276424.0
2017-02-07,1876909.0
2017-02-08,2186156.0
2017-02-09,1976266.0
2017-02-10,2328482.0
2017-02-11,2696521.0
2017-02-12,3481288.0
2017-02-13,3267238.0
2017-02-14,3205802.0
2017-02-15,3064707.0
2017-02-16,3047996.0
2017-02-17,3049532.0
2017-02-18,2831718.0
2017-02-19,2770186.0
2017-02-20,3059182.0
2017-02-21,3008388.0
2017-02-22,2989356.0
2017-02-23,3024580.0
2017-02-24,3049473.0
2017-02-25,2893678.0
2017-02-26,2699732.0
2017-02-27,3033853.0
2017-02-28,3212601.0
2017-03-01,3766389.0
2017-03-02,3187647.0
2017-03-03,2983500.0
2017-03-04,2492510.0
2017-03-05,2627858.0
2017-03-06,1994054.0
2017-03-07,2229384.0
2017-03-08,2201337.0
2017-03-09,1873533.0
2017-03-10,2367512.0
2017-03-11,2647318.0
2017-03-12,3408113.0
2017-03-13,2740771.0
2017-03-14,2809358.0
2017-03-15,2760852.0
2017-03-16,2699788.0
2017-03-17,2662974.0
2017-03-18,2509710.0
2017-03-19,2337256.0
2017-03-20,2685073.0
2017-03-21,2779102.0
2017-03-22,2889931.0
2017-03-23,2914581.0
2017-03-24,2901331.0
2017-03-25,2548498.0
2017-03-26,2348843.0
2017-03-27,2588335.0
2017-03-28,2577957.0
2017-03-29,2536045.0
2017-03-30,2469824.0
2017-03-31,2407651.0
2017-04-01,3843991.0
2017-04-02,2986302.0
2017-04-03,2756196.0
2017-04-04,2515178.0
2017-04-05,2600544.0
2017-04-06,1820201.0
2017-04-07,2309090.0
2017-04-08,2177685.0
2017-04-09,2217581.0
2017-04-10,2400938.0
2017-04-11,2394743.0
2017-04-12,3572203.0
2017-04-13,2452258.0
2017-04-14,2403965.0
2017-04-15,2212000.0
2017-04-16,2087496.0
2017-04-17,2158193.0
2017-04-18,2543576.0
2017-04-19,2680466.0
2017-04-20,2726554.0
2017-04-21,2642868.0
2017-04-22,2304845.0
2017-04-23,2144595.0
2017-04-24,2457095.0
2017-04-25,2566479.0
2017-04-26,2747185.0
2017-04-27,2832065.0
2017-04-28,2787558.0
2017-04-29,2405475.0
2017-04-30,2208658.0
